Algorithm,Avg Waiting Time,Avg Turnaround Time,Avg Response Time,CPU Utilization,Throughput
First-Come, First-Served (FCFS),6.67,11.33,6.67,100.00,0.2143
Shortest Job First (SJF),2.67,7.33,2.67,100.00,0.2143
Round Robin (RR) - Quantum: 2,5.33,10.00,2.00,100.00,0.2143
Shortest Remaining Time First (SRTF),2.67,7.33,2.67,100.00,0.2143
Multi-Level Feedback Queue (MLFQ) - Queues: 3, Base Quantum: 2,6.00,10.67,2.00,100.00,0.2143
